title,abstract,authors,year,journal,doi,keywords
PROXIMITY TO SEABIRD COLONIES AND WATER AVAILABILITY SHAPE MOSS DISTRIBUTIONS IN ANTARCTICA,"UNDERSTANDING SPECIES DISTRIBUTIONS ACROSS ANTARCTICA IS CRUCIAL FOR BIODIVERSITY CONSERVATION UNDER CLIMATE CHANGE, BUT CONTINENTAL-SCALE ANALYSES OF KEY TERRESTRIAL SPECIES REMAIN SCARCE. HERE, WE MODELLED DISTRIBUTIONS OF 28 MOSS SPECIES ACROSS ANTARCTICA USING LOG-GAUSSIAN COX PROCESS MODELS AND ENVIRONMENTAL COVARIATES INCLUDING TOPOGRAPHIC WETNESS INDEX, DISTANCE TO SEABIRD COLONIES, AND TEMPERATURE. BROAD-SCALE DISTRIBUTIONS WERE PRIMARILY DRIVEN BY PROXIMITY TO SEABIRD COLONIES, WHILE SPECIES EXHIBITED DISTINCT RESPONSES TO WATER AVAILABILITY AND TEMPERATURE. SPECIES EXCLUSIVE TO MARITIME ANTARCTICA SHOWED NEGATIVE RELATIONSHIPS WITH A TOPOGRAPHIC WETNESS INDEX, WHEREAS CONTINENT-WIDE SPECIES RESPONDED POSITIVELY TO WATER ACCUMULATION POTENTIAL, REFLECTING REGIONAL DIFFERENCES IN WATER AVAILABILITY AND HABITAT PREFERENCES. BIAS-CORRECTED PREDICTIONS REVEALED HIGHEST MOSS DIVERSITY IN COASTAL REGIONS, WITH INLAND AREAS SUPPORTING ECOLOGICALLY DISTINCT ASSEMBLAGES. OUR BAYESIAN MODELLING APPROACH PROVIDES A FOUNDATION FOR FORECASTING BIODIVERSITY RESPONSES TO ENVIRONMENTAL CHANGE IN DATA-POOR SYSTEMS, OFFERING CRITICAL INSIGHTS FOR EVIDENCE-BASED CONSERVATION PLANNING UNDER INCREASING ANTHROPOGENIC PRESSURES.",KOERICH G;LAI HR;LEE CK;MORGAN FJ;TONKIN JD,2026,ECOGRAPHY,10.1002/ecog.08166,ANTARCTIC ECOLOGY; BAYESIAN MODELLING; BIOGEOGRAPHY; BRYOPHYTES; SPECIES DISTRIBUTION MODELLING
QUANTIFYING EARTH SYSTEM INTERACTIONS FOR SUSTAINABLE FOOD PRODUCTION VIA EXPERT ELICITATION,"SEVERAL SAFE BOUNDARIES OF CRITICAL EARTH SYSTEM PROCESSES HAVE ALREADY BEEN CROSSED DUE TO HUMAN PERTURBATIONS; NOT ACCOUNTING FOR THEIR INTERACTIONS MAY FURTHER NARROW THE SAFE OPERATING SPACE FOR HUMANITY. USING EXPERT KNOWLEDGE ELICITATION, WE EXPLORED INTERACTIONS AMONG SEVEN VARIABLES REPRESENTING EARTH SYSTEM PROCESSES RELEVANT TO FOOD PRODUCTION, IDENTIFYING MANY INTERACTIONS LITTLE EXPLORED IN EARTH SYSTEM LITERATURE. WE FOUND THAT GREEN WATER AND LAND SYSTEM CHANGE AFFECT OTHER EARTH SYSTEM PROCESSES STRONGLY, WHILE LAND, FRESHWATER AND OCEAN COMPONENTS OF BIOSPHERE INTEGRITY ARE THE MOST IMPACTED BY OTHER EARTH SYSTEM PROCESSES, MOST NOTABLY BLUE WATER AND BIOGEOCHEMICAL FLOWS. WE ALSO MAPPED A COMPLEX NETWORK OF MECHANISMS MEDIATING THESE INTERACTIONS AND CREATED A FUTURE RESEARCH PRIORITIZATION SCHEME BASED ON INTERACTION STRENGTHS AND EXISTING KNOWLEDGE GAPS. OUR STUDY IMPROVES THE UNDERSTANDING OF EARTH SYSTEM INTERACTIONS, WITH SUSTAINABILITY IMPLICATIONS INCLUDING IMPROVED EARTH SYSTEM MODELLING AND MORE EXPLICIT BIOPHYSICAL LIMITS FOR FUTURE FOOD PRODUCTION. DETERMINING THE SAFE OPERATING SPACE FOR SUSTAINABLE FOOD PRODUCTION DEPENDS ON THE INTERACTIONS OF MULTIPLE PROCESSES WITHIN THE EARTH SYSTEM. EXPERT KNOWLEDGE PROVIDES CRITICAL INSIGHT INTO HOW THESE PROCESSES INTERACT THAT IMPROVES EARTH SYSTEM MODELLING AND OUR UNDERSTANDING OF THE LIMITS OF GLOBAL FOOD PRODUCTION.",CHRYSAFI A;VIRKKI V;JALAVA M;SANDSTRÖM V;PIIPPONEN J;PORKKA M;LADE SJ;LA MERE K;WANG-ERLANDSSON L;SCHERER L;ANDERSEN LS;BENNETT E;BRAUMAN KA;COOPER GS;DE PALMA A;DÖLL P;DOWNING AS;DUBOIS TC;FETZER I;FULTON EA;GERTEN D;JAAFAR H;JÄGERMEYR J;JARAMILLO F;JUNG M;KAHILUOTO H;LASSALETTA L;MACKAY AW;MASON-D'CROZ D;MEKONNEN MM;NASH KL;PASTOR A;RAMANKUTTY N;RIDOUTT B;SIEBERT S;SIMMONS B;STAAL A;SUN ZX;TOBIAN A;USUBIAGA-LIAÑO A;VAN DER ENT RJ;VAN SOESBERGEN A;VERBURG PH;WADA Y;ZIPPER S;KUMMU M,2022,NATURE SUSTAINABILITY,10.1038/s41893-022-00940-6,NA
"PERFORMANCE OF DEEP-SEA HABITAT SUITABILITY MODELS ASSESSED USING INDEPENDENT DATA, AND IMPLICATIONS FOR USE IN AREA-BASED MANAGEMENT","MARINE SPATIAL MANAGEMENT REQUIRES ACCURATE DATA ON SPECIES AND HABITAT DISTRIBUTIONS. FOR THE DEEP SEA, THESE DATA ARE LACKING. HABITAT SUITABILITY MODELLING OFFERS A ROBUST DEFENSIBLE MEANS TO FILL DATA GAPS, PROVIDED MODELS ARE SUFFICIENTLY RELIABLE. WE TESTED THE PERFORMANCE OF PUBLISHED MODELS OF 2 DEEP-SEA HABITAT-FORMING TAXA AT LOW AND HIGH RESOLUTIONS (SIMILAR TO 1 KM AND 200 M GRID-CELL SIZE), ACROSS THE EXTENDED EXCLUSIVE ECONOMIC ZONES OF THE UK AND IRELAND. WE CONSTRUCTED NEW DATA-RICH MODELS AND COMPARED NEW AND OLD ESTIMATES OF THE AREA OF HABITAT PROTECTED, NOTING CHANGES IN THE PROTECTED AREA NETWORK SINCE 2015. RESULTS OF INDEPENDENT VALIDATION SUGGEST THAT ALL PUBLISHED MODELS PERFORM WORSE THAN EXPECTED CONSIDERING ORIGINAL CROSS-VALIDATION RESULTS, BUT MODEL PERFORMANCE IS STILL GOOD OR FAIR FOR DESMOPHYLLUM PERTUSUM REEF, WITH POORER PERFORMANCE FOR PHERONEMA CARPENTERI SPONGE MODELS. HIGH-RESOLUTION MODELS USING MULTIBEAM DATA OUT-PERFORM LOW-RESOLUTION GEBCO-BASED MODELS. NEWLY CONSTRUCTED MODELS ARE GOOD TO EXCELLENT ACCORDING TO CROSS VALIDATION. NEW MODEL SPATIAL PREDICTIONS REFLECT PUBLISHED MODELS, BUT WITH A SIGNIFICANT REDUCTION IN PREDICTED EXTENT. THE CURRENT MARINE PROTECTED AREA NETWORK AND THE EUROPEAN UNION BAN ON BOTTOM TRAWLING BELOW 800 M PROTECT 40 AND 60% OF D. PERTUSUM REEF-SUITABLE HABITAT, RESPECTIVELY, AND 11 AND 100% OF P. CARPENTERI-SUITABLE HABITAT, RESPECTIVELY, WITHIN THE MODEL DOMAIN. WE CONCLUDE THAT HIGH-RESOLUTION MODELS OF D. PERTUSUM REEF DISTRIBUTION ARE A USEFUL TOOL IN SPATIAL MANAGEMENT. THE POORER PERFORMING P. CARPENTERI MODEL INDICATES AREAS FOR MORE DETAILED STUDY. WHILE LOW-RESOLUTION MODELS CAN PROVIDE CONSERVATIVE ESTIMATES OF PERCENTAGE AREA-BASED CONSERVATION TARGETS FOLLOWING THE PRECAUTIONARY PRINCIPLE, HIGH-RESOLUTION SEA-FLOOR MAPPING SUPPORTS THE DEVELOPMENT OF BETTER-PERFORMING MODELS.",HOWELL KL;BRIDGES AE;GRAVES KP;ALLCOCK L;LA BIANCA G;VENTURA-COSTA C;DONALDSON S;DOWNIE AL;FUREY T;MCGRATH F;ROSS R,2022,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps14098,DEEP SEA; HABITAT SUITABILITY MODELLING; SPECIES DISTRIBUTION MODELLING; MARINE CONSERVATION; MARINE SPATIAL PLANNING; PHERONEMA CARPENTERI; DESMOPHYLLUM PERTUSUM
MOVING TOWARD A STRATEGY FOR ADDRESSING CLIMATE DISPLACEMENT OF MARINE RESOURCES: A PROOF-OF-CONCEPT,"REALISTIC PREDICTIONS OF CLIMATE CHANGE EFFECTS ON NATURAL RESOURCES ARE CENTRAL TO ADAPTATION POLICIES THAT TRY TO REDUCE THESE IMPACTS. HOWEVER, MOST CURRENT FORECASTING APPROACHES DO NOT INCORPORATE SPECIES-SPECIFIC, PROCESS-BASED BIOLOGICAL INFORMATION, WHICH LIMITS THEIR ABILITY TO INFORM ACTIONABLE STRATEGIES. MECHANISTIC APPROACHES, INCORPORATING QUANTITATIVE INFORMATION ON FUNCTIONAL TRAITS, CAN POTENTIALLY PREDICT SPECIES- AND POPULATION-SPECIFIC RESPONSES THAT RESULT FROM THE CUMULATIVE IMPACTS OF SMALL-SCALE PROCESSES ACTING AT THE ORGANISMAL LEVEL, AND CAN BE USED TO INFER POPULATION-LEVEL DYNAMICS AND INFORM NATURAL RESOURCES MANAGEMENT. HERE WE PRESENT A PROOF-OF-CONCEPT STUDY USING THE EUROPEAN ANCHOVY AS A MODEL SPECIES THAT SHOWS HOW A TRAIT-BASED, MECHANISTIC SPECIES DISTRIBUTION MODEL CAN BE USED TO EXPLORE THE VULNERABILITY OF MARINE SPECIES TO ENVIRONMENTAL CHANGES, PRODUCING QUANTITATIVE OUTPUTS USEFUL FOR INFORMING FISHERIES MANAGEMENT. WE CROSSED SCENARIOS OF TEMPERATURE AND FOOD TO GENERATE QUANTITATIVE MAPS OF SELECTED MECHANISTIC MODEL OUTCOMES (E.G., MAXIMUM LENGTH AND TOTAL REPRODUCTIVE OUTPUT). THESE RESULTS HIGHLIGHT CHANGING PATTERNS OF SOURCE AND SINK SPAWNING AREAS AS WELL AS THE INCIDENCE OF REPRODUCTIVE FAILURE. THIS STUDY DEMONSTRATES THAT MODEL PREDICTIONS BASED ON FUNCTIONAL TRAITS CAN REDUCE THE DEGREE OF UNCERTAINTY WHEN FORECASTING FUTURE TRENDS OF FISH STOCKS. HOWEVER, TO BE EFFECTIVE THEY MUST BE BASED ON HIGH SPATIAL- AND TEMPORAL RESOLUTION ENVIRONMENTAL DATA. SUCH A SENSITIVE AND SPATIALLY EXPLICIT PREDICTIVE APPROACH MAY BE USED TO INFORM MORE EFFECTIVE ADAPTIVE MANAGEMENT STRATEGIES OF RESOURCES IN NOVEL CLIMATIC CONDITIONS.",MANGANO MC;MIESZKOWSKA N;HELMUTH B;DOMINGOS T;SOUSA T;BAIAMONTE G;BAZAN G;CUTTITTA A;FIORENTINO F;GIACOLETTI A;JOHNSON M;LUCIDO GD;MARCELLI M;MARTELLUCCI R;MIRTO S;PATTI B;PRANOVI F;WILLIAMS GA;SARÀ G,2020,FRONTIERS IN MARINE SCIENCE,10.3389/fmars.2020.00408,CLIMATE-INFORMED MANAGEMENT; DYNAMIC ENERGY BUDGET MODEL; ENGRAULIS ENCRASICOLUS; LIFE-HISTORY TRAITS; SCENARIOS; TEMPERATURE INCREASE
"NICHE MODELLING OF THE POTENTIAL DISTRIBUTION OF THE EGYPTIAN VULTURE NEOPHRON PERCNOPTERUS DURING SUMMER AND WINTER IN IRAN, TO IDENTIFY GAPS IN PROTECTED AREA COVERAGE","AN ANALYSIS OF THE EXTENT OF OVERLAP BETWEEN HABITATS OF THE EGYPTIAN VULTURE NEOPHRON PERCNOPTERUS DURING SUMMER AND WINTER IN IRAN, AND IRANIAN PROTECTED AREAS, DISCOVERED SLIGHT OVERLAP BETWEEN THE TWO. OUR STUDY AIMED TO SURVEY SUITABLE HABITATS OF THE EGYPTIAN VULTURE DURING SUMMER AND WINTER IN IRAN USING MAXENT, A SPECIES DISTRIBUTION MODELLING METHOD, AND COMPARE THE RESULTS WITH THE LOCATIONS AND SPAN OF PROTECTED AREAS. MODEL FITNESS WAS ASSESSED USING THE AREA UNDER THE ROC-PLOT AND TRUE SKILL STATISTICS. WE FOUND THAT HABITAT SUITABILITY IN IRAN VARIES FOR THE EGYPTIAN VULTURE DURING SUMMER AND WINTER. SUMMER VISITORS ARE SCATTERED IN THE NORTH AND WEST OF IRAN, CONCENTRATED ALONG THE ZAGROS AND ALBORZ MOUNTAIN RANGES. WINTER VISITORS AND RESIDENTS ARE SCATTERED IN COASTAL AREAS IN THE SOUTH. HABITAT PROTECTION FOR WINTER VISITORS WAS THE GREATEST, WITH 10% OF SUITABLE HABITAT COVERED, WHILE LESS THAN 10% OF SUITABLE HABITAT FOR RESIDENTS AND SUMMER VISITORS FELL WITHIN PROTECTED AREAS. THE EGYPTIAN VULTURE IS CATEGORISED AS 'ENDANGERED' ON THE IUCN RED LIST. DIFFERENT ENVIRONMENTAL FACTORS INFLUENCE THE SUITABILITY OF HABITAT FOR THE SPECIES. WHILE SOME FACTORS SUCH AS NDVI AND ANTHROPOGENIC DISTURBANCE INFLUENCE ALL VISITORS IN A SIMILAR WAY, THE EFFECTS OF OTHERS SUCH AS ELEVATION AND DISTANCE FROM PROTECTED AREAS VARY FOR SUMMER AND WINTER VISITORS. SINCE DESIGNATION OF PROTECTED AREAS IN IRAN IS MAINLY DETERMINED BY THE DISTRIBUTION OF MAMMAL SPECIES, PROTECTION OF BIRD HABITATS IS OFTEN OVERLOOKED. SUITABLE HABITAT FOR THE SPECIES SHOULD BE CONSIDERED WHEN SELECTING PROTECTED AREAS IN FUTURE.",FARASHI A;ALIZADEH-NOUGHANI M,2019,BIRD CONSERVATION INTERNATIONAL,10.1017/S0959270918000278,NA
DESIGNING MPAS FOR FOOD SECURITY IN OPEN-ACCESS FISHERIES,"FOOD SECURITY REMAINS A PRINCIPAL CHALLENGE IN THE DEVELOPING TROPICS WHERE COMMUNITIES RELY HEAVILY ON MARINE-BASED PROTEIN. WHILE SOME IMPROVEMENTS IN FISHERIES MANAGEMENT HAVE BEEN MADE IN THESE REGIONS, A LARGE FRACTION OF COASTAL FISHERIES REMAIN UNMANAGED, MISMANAGED, OR USE ONLY CRUDE INPUT CONTROLS. THESE QUASI-OPEN-ACCESS CONDITIONS OFTEN LEAD TO SEVERE OVERFISHING, DEPLETED STOCKS, AND COMPROMISED FOOD SECURITY. A POSSIBLE FISHERY MANAGEMENT APPROACH IN THESE INSTITUTION-POOR SETTINGS IS TO IMPLEMENT FULLY PROTECTED MARINE PROTECTED AREAS (MPAS). ALTHOUGH THE PRIMARY PUSH FOR MPAS HAS BEEN TO SOLVE THE CONSERVATION PROBLEMS THAT ARISE FROM MISMANAGEMENT, MPAS CAN ALSO BENEFIT FISHERIES BEYOND THEIR BORDERS. THE LITERATURE HAS NOT COMPLETELY CHARACTERIZED HOW TO DESIGN MPAS UNDER DIVERSE ECOLOGICAL AND ECONOMIC CONDITIONS WHEN FOOD SECURITY IS THE OBJECTIVE. WE INTEGRATED FOUR KEY BIOLOGICAL AND ECONOMIC VARIABLES (I.E., FISH POPULATION GROWTH RATE, FISH MOBILITY, FISH PRICE, AND FISHING COST) AS WELL AS AN IMPORTANT ASPECT OF RESERVE DESIGN (MPA SIZE) INTO A GENERAL MODEL AND DETERMINED THEIR COMBINED INFLUENCE ON FOOD SECURITY WHEN MPAS ARE IMPLEMENTED IN AN OPEN-ACCESS SETTING. WE EXPLICITLY MODELED OPEN-ACCESS CONDITIONS THAT ACCOUNT FOR THE BEHAVIORAL RESPONSE OF FISHERS TO THE MPA; THIS APPROACH IS DISTINCT FROM MUCH OF THE LITERATURE THAT FOCUSES ON ASSUMPTIONS OF ""SCORCHED EARTH"" (I.E., SEVERE OVER-FISHING), OPTIMIZED MANAGEMENT, OR AN ARBITRARILY DEFINED FISHING MORTALITY OUTSIDE THE MPA'S BOUNDARIES. WE FOUND THAT THE MPA SIZE THAT OPTIMIZES CATCH DEPENDS STRONGLY ON ECONOMIC VARIABLES. LARGE MPAS OPTIMIZE CATCH FOR SPECIES HEAVILY HARVESTED FOR THEIR HIGH VALUE AND/OR LOW HARVESTING COST, WHILE SMALL MPAS OR NO CLOSURE ARE BEST FOR SPECIES LIGHTLY HARVESTED FOR THEIR LOW VALUE AND HIGH HARVESTING COST. CONTRARY TO PREVIOUS THEORETICAL EXPECTATIONS, BOTH HIGH AND LOW MOBILITY SPECIES ARE EXPECTED TO EXPERIENCE CONSERVATION BENEFITS FROM PROTECTION, ALTHOUGH, AS SHOWN PREVIOUSLY, GREATER CONSERVATION BENEFITS ARE EXPECTED FOR LOW MOBILITY SPECIES. FOOD SECURITY BENEFITS FROM MPAS CAN BE OBTAINED FROM SPECIES OF ANY MOBILITY. RESULTS DELIVER BOTH QUALITATIVE INSIGHTS AND QUANTITATIVE GUIDANCE FOR DESIGNING MPAS FOR FOOD SECURITY IN OPEN-ACCESS FISHERIES.",CABRAL RB;HALPERN BS;LESTER SE;WHITE C;GAINES SD;COSTELLO C,2019,SCIENTIFIC REPORTS,10.1038/s41598-019-44406-w,NA
HOW PARAMETER SPECIFICATION OF AN EARTH SYSTEM MODEL OF INTERMEDIATE COMPLEXITY INFLUENCES ITS CLIMATE SIMULATIONS,"EARTH SYSTEM MODELS (ESMS) CONSIST OF PARAMETERIZATION SCHEMES BASED ON ONE'S PERCEPTION OF HOW THE EARTH SYSTEM FUNCTIONS. A TYPICAL ESM CONTAINS A LARGE NUMBER OF PARAMETERS (I.E., THE CONSTANTS AND EXPONENTS IN THE PARAMETERIZATION SCHEMES) WHOSE SPECIFICATION CAN HAVE A SIGNIFICANT IMPACT ON AN ESM'S SIMULATION CAPABILITIES. SENSITIVITY ANALYSES (SA) IS AN IMPORTANT TOOL FOR ASSESSING HOW PARAMETER SPECIFICATION INFLUENCES MODEL SIMULATIONS. IN THIS STUDY, WE USED AN EARTH SYSTEM MODEL OF INTERMEDIATE COMPLEXITY (EMIC)LOVECLIM AS AN EXAMPLE TO ILLUSTRATE HOW SA METHODS CAN BE USED TO IDENTIFY THE MOST SENSITIVE PARAMETERS THAT CONTROL THE SIMULATIONS OF SEVERAL KEY GLOBAL WATER AND ENERGY CYCLE VARIABLES, INCLUDING GLOBAL ANNUAL MEAN ABSOLUTE SURFACE AIR TEMPERATURE (T-G), PRECIPITATION AND EVAPORATION OVER THE LAND AND OVER THE OCEANS (P-L, P-O, E-L, E-O), AND LAND RUNOFF (R-L). WE ALSO DEMONSTRATE HOW JUDICIOUSLY SPECIFYING MODEL PARAMETERS CAN IMPROVE THE SIMULATIONS OF THOSE VARIABLES. THREE SA METHODS MARS, RF, AND SPARSE PCE-BASED SOBOL' METHOD WERE USED TO EVALUATE A POOL OF 25 ADJUSTABLE PARAMETERS CHOSEN FROM LAND, ATMOSPHERE, AND OCEAN COMPONENTS OF LOVECLIM AND THEIR RESULTS WERE INTERCOMPARED TO ENSURE ROBUSTNESS OF THE RESULTS. IT IS FOUND THAT WITH DIFFERENT PARAMETER SPECIFICATION, T-G CAN VARY FROM 10 TO 20 DEGREES C, AND THE VALUES OF P-L, P-O, E-L, AND E-O CAN CHANGE BY MORE THAN 100%. AN INTERESTING OBSERVATION IS THAT THE VALUE OF R-L VARY FROM 13,000 TO 35,000KM(3), FAR BELOW THE OBSERVED CLIMATOLOGICAL VALUE OF 40,000KM(3), INDICATING A MODEL STRUCTURAL DEFICIENCY IN REPRESENTING LAND RUNOFF BY LOVECLIM WHICH MUST BE CORRECTED TO OBTAIN MORE REASONABLE GLOBAL WATER BUDGETS. WE ALSO NOTE THAT PARAMETER SENSITIVITIES ARE SIGNIFICANTLY DIFFERENT AT DIFFERENT LATITUDES. FINALLY, WE SHOWED THAT GLOBAL WATER AND ENERGY CYCLE SIMULATIONS CAN BE SIGNIFICANTLY IMPROVED BY EVEN A CRUDE AUTOMATIC PARAMETER TUNING, INDICATING THAT PARAMETER OPTIMIZATION CAN BE A VIABLE WAY TO IMPROVE ESM CLIMATE SIMULATIONS. THE RESULTS FROM THIS STUDY SHOULD HELP US TO UNDERSTAND THE PARAMETER UNCERTAINTY OF A FULL-SCALE ESM.",SHI YH;GONG W;DUAN QY;CHARLES J;XIAO CD;WANG H,2019,PROGRESS IN EARTH AND PLANETARY SCIENCE,10.1186/s40645-019-0294-x,PARAMETER SENSITIVITY ANALYSIS; EARTH SYSTEM MODEL OF INTERMEDIATE COMPLEXITY; LOVECLIM; PARAMETRIC UNCERTAINTY
REDUCING THE RISK OF FISHERY RESOURCE DISASTERS: A BIOECONOMIC APPROACH TO SUSTAINABLE RESOURCE MANAGEMENT,"RECOGNITION IS GROWING THAT FISHERIES MUST BE BOTH ECOLOGICALLY AND COMMERCIALLY SUSTAINABLE. THE BIOECONOMIC MODELS PROPOSED HEREIN CONSTITUTE AN ANALYTIC FRAMEWORK CAPABLE OF INTEGRATING THE ETHICS AND SOCIETAL VALUES ASSOCIATED WITH FISHERIES PRESERVATION. SPECIFICALLY, WE FOCUS ON THE NORMALIZED OPTIMAL (EQUILIBRIUM) FISH POPULATION, Z*, A DIMENSIONLESS VARIABLE REPRESENTING BIOMASS AS A PROPORTION OF ENVIRONMENTAL CAPACITY. WE MODEL Z* AS A FUNCTION OF (A) THE DIMENSIONLESS ""BIONOMIC GROWTH RATIO"", GAMMA, WHICH IS THE RATIO OF THE DISCOUNT RATE TO THE INTRINSIC POPULATION GROWTH RATE, AND (B) THE PRESERVATION COEFFICIENT, Q, WHICH IS THE RATIO OF THE PRESERVATION VALUE (A MEASURE OF SOCIETY'S VALUE FOR THE STOCK) TO PRICE, ASSUMING THAT THE POPULATION GROWTH RATE AND INTRINSIC GROWTH RATE ARE FIXED. IT IS SHOWN THAT INCREASING Q SIGNIFICANTLY IMPACTS Z*, PARTICULARLY FOR MODERATE VALUES OF GAMMA (2 <= GAMMA <= 4). FINALLY, STOCHASTIC POPULATION MODELS ARE USED TO ANALYZE THE RISK OF A FISH STOCK COLLAPSE DUE TO HARVESTING PRESSURES. THE BIOECONOMIC MODELS AND SIMULATIONS HEREIN DESCRIBED IMPROVE THE ACCURACY AND RELIABILITY OF MAXIMUM SUSTAINABLE YIELD MANAGEMENT.",LEVY JK;KILGOUR DM;HIPEL KW,2006,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,10.1111/j.1752-1688.2006.tb06013.x,FISHERIES MANAGEMENT; OPTIMAL CONTROL THEORY; SIMULATION; STOCHASTIC MODELS; RISK ASSESSMENT; SUSTAINABILITY
A PROPOSED BIOGEOGRAPHY OF THE DEEP OCEAN FLOOR,"WHILE THERE ARE MANY GENERALIZED SCHEMES REPRESENTING THE BIOGEOGRAPHIC DISTRIBUTION OF LIFE IN THE DEEP SEA, REVIEWED HERE, A COMPREHENSIVE ANALYSIS HAS NOT BEEN UNDERTAKEN SINCE VINOGRADOVA (1979, 1997) FOR THE ABYSSAL AND BELYAEV (1989) FOR THE HADAL. THE PURPOSE OF THIS PAPER IS TO PROPOSE GLOBAL BIOGEOGRAPHIC PROVINCES FOR THE LOWER BATHYAL AND ABYSSAL BENTHOS (>800 M DEPTHS) IN ORDER TO AID HIGH SEAS MANAGEMENT EFFORTS. BIOLOGICAL SAMPLES FROM THESE DEPTHS ARE SPARSE SO DELINEATION OF BIOGEOGRAPHIC PROVINCES WAS INITIALLY HYPOTHESIZED USING OCEANOGRAPHIC PROXIES, AND EXAMINED WITH DOCUMENTED LOCATIONS OF SELECT BENTHIC MARINE SPECIES. THESE BIOGEOGRAPHIC PROVINCES WERE FIRST DEVELOPED IN 2009 VIA AN EXPERT CONSULTATION WORKSHOP TO DELINEATE BIOGEOGRAPHIC PROVINCES IN OFFSHORE REGIONS - THE GLOBAL OPEN OCEAN AND DEEP SEA (GOODS) CLASSIFICATION. WE HAVE REFINED THE GOODS DEEP-SEA CLASSIFICATION BY INCORPORATING ADDITIONAL HIGH-RESOLUTION HYDROGRAPHIC AND ORGANIC-MATTER FLUX DATA FOR THE SEAFLOOR. WATER MASS CHARACTERISTICS (TEMPERATURE AND SALINITY) AND PARTICULATE ORGANIC FLUX TO THE SEAFLOOR WERE THE STRONGEST DETERMINANTS IN THE FINAL DELINEATION OF PROVINCIAL BOUNDARIES. THIS PROCESS RESULTED IN THE DELINEATION OF 14 LOWER BATHYAL AND 14 ABYSSAL PROVINCES. THE BATHYAL AND ABYSSAL CLASSIFICATIONS PRESENTED HERE SHOULD BE USED WITH OTHER MANAGEMENT TOOLS AND ANALYSES (E.G., PREDICTIVE HABITAT MODELING, SEAMOUNT CLASSIFICATIONS, ETC.) TO HELP DETERMINE WHERE MARINE PROTECTED AREAS SHOULD BE PLACED AND TO MINIMIZE THE NEGATIVE IMPACTS OF COMMERCIAL ACTIVITIES IN THE HIGH SEAS. (C) 2012 ELSEVIER LTD. ALL RIGHTS RESERVED.",WATLING L;GUINOTTE J;CLARK MR;SMITH CR,2013,PROGRESS IN OCEANOGRAPHY,10.1016/j.pocean.2012.11.003,NA
ECONOMIC VALUE OF ECOLOGICAL INFORMATION IN ECOSYSTEM BASED NATURAL RESOURCE MANAGEMENT DEPENDS ON EXPLOITATION HISTORY,"ECOSYSTEM APPROACHES TO NATURAL RESOURCE MANAGEMENT ARE SEEN AS A WAY TO PROVIDE BETTER OUTCOMES FOR ECOSYSTEMS AND FOR PEOPLE, YET THE NATURE AND STRENGTH OF INTERACTIONS AMONG ECOSYSTEM COMPONENTS IS USUALLY UNKNOWN. HERE WE CHARACTERIZE THE ECONOMIC BENEFITS OF ECOLOGICAL KNOWLEDGE THROUGH A SIMPLE MODEL OF FISHERIES THAT TARGET A PREDATOR (PISCIVORE) AND ITS PREY. WE SOLVE FOR THE MANAGEMENT (HARVEST) TRAJECTORY THAT MAXIMIZES NET PRESENT VALUE (NPV) FOR DIFFERENT ECOLOGICAL INTERACTIONS AND INITIAL CONDITIONS THAT REPRESENT DIFFERENT LEVELS OF EXPLOITATION HISTORY. OPTIMAL MANAGEMENT TRAJECTORIES GENERALLY APPROACHED SIMILAR HARVEST LEVELS, BUT THE PATHWAYS TOWARD THOSE LEVELS VARIED CONSIDERABLY BY ECOLOGICAL SCENARIO. APPLICATION OF THE WRONG HARVEST TRAJECTORY, WHICH WOULD HAPPEN IF ONE TYPE OF ECOLOGICAL INTERACTION WERE ASSUMED BUT IN FACT ANOTHER WERE OCCURRING, GENERALLY LED TO ONLY MODEST REDUCTIONS IN NPV. HOWEVER, THE RISKS WERE NOT EQUAL ACROSS FLEETS: RISKS OF INCURRING LARGE LOSSES OF NPV AND MISSING MANAGEMENT TARGETS WERE MUCH HIGHER IN THE FISHERY TARGETING PISCIVORES, ESPECIALLY WHEN PISCIVORES WERE HEAVILY DEPLETED. OUR FINDINGS SUGGEST THAT THE ECOSYSTEM APPROACH MIGHT PROVIDE THE GREATEST BENEFITS WHEN USED TO IDENTIFY SYSTEM STATES WHERE MANAGEMENT PERFORMS POORLY WITH IMPERFECT KNOWLEDGE OF SYSTEM LINKAGES SO THAT MANAGEMENT STRATEGIES CAN BE ADOPTED TO AVOID THOSE STATES.",ESSINGTON TE;SANCHIRICO JN;BASKETT ML,2018,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1716858115,NATURAL RESOURCES; BIOECONOMIC MODELING; TRADE-OFFS; SUSTAINABLE FISHERIES; RISK
