title,abstract,authors,year,journal,doi,keywords
ACCLIMATION BY DIVERSE PHYTOPLANKTON SPECIES DETERMINES OCEANIC CARBON TO NITROGEN RATIOS,"THE CARBON TO NITROGEN (CN) RATIO OF PHYTOPLANKTON CONNECTS THE CARBON AND NITROGEN CYCLES IN THE OCEAN. ANY VARIATION IN THIS RATIO UNDER CLIMATE CHANGE WILL ALTER THE AMOUNT OF CARBON FIXED BY PHOTOSYNTHESIS, AND ULTIMATELY THE AMOUNT SEQUESTERED IN THE OCEAN. HOWEVER, A CONSISTENT MECHANISTIC EXPLANATION REMAINS LACKING FOR OBSERVED SPECIES-SPECIFIC VARIATIONS IN PHYTOPLANKTON CN RATIOS. WE SHOW THAT ACCLIMATION TO AMBIENT ENVIRONMENTAL CONDITIONS EXPLAINS THE OBSERVED VARIATION OF PHYTOPLANKTON CN RATIOS BY INCORPORATING PHYTOPLANKTON ACCLIMATION THEORY BASED ON A RESOURCE ALLOCATION TRADE-OFF BETWEEN CARBON VS. NITROGEN ACQUISITION CAPACITY INTO A THREE-DIMENSIONAL MARINE ECOSYSTEM MODEL. INTER-SPECIFIC DIFFERENCES IN CN RATIO AND ITS SENSITIVITY ARE CAUSED BY INTER-SPECIFIC DIFFERENCES IN DROOP'S MINIMUM NITROGEN CELL QUOTA. OUR MODEL, CONSTRAINED BY OBSERVED PHYTOPLANKTON PARAMETERS, SHOWS THAT THE GLOBAL MEAN PHYTOPLANKTON CN RATIO IS GREATER THAN THE CANONICAL REDFIELD RATIO, AS SUGGESTED PREVIOUSLY BASED ON REGIONAL IN SITU OBSERVATIONS.",MASUDA Y;YAMANAKA Y;SMITH SL;HIRATA T;NAKANO H;OKA A;SUMATA H;AITA MN,2023,LIMNOLOGY AND OCEANOGRAPHY LETTERS,10.1002/lol2.10304,NA
"HERRING AND THE ""EXXON VALDEZ"" OIL SPILL: AN INVESTIGATION INTO HISTORICAL DATA CONFLICTS","IT WAS GENERALLY BELIEVED THAT THE 1989 ""EXXON VALDEZ"" OIL SPILL DID NOT CAUSE THE COLLAPSE OF THE PRINCE WILLIAM SOUND PACIFIC HERRING (CLUPEA PALLASI) POPULATION BECAUSE OF A 4-YEAR GAP BETWEEN THE SPILL AND THE COLLAPSE. HOWEVER, WE NOTED IN A PREVIOUS PAPER THAT SOME DATA SUGGESTED AN EARLIER TIMING FOR THE HERRING DECLINE. WE EXAMINE HISTORICAL PATTERNS OF HERRING SPAWN, ANOMALIES IN HISTORICAL FISHERIES MODEL PREDICTIONS, CHANGES IN PREDATION BEHAVIOUR OF STELLER SEA LIONS (EUMETOPIAS JUBATUS), AND A DECADAL DATABASE OF ACOUSTIC MEASUREMENTS OF HERRING BIOMASS. BEHAVIOUR OF ADULT HERRING MAKES THEM ESPECIALLY VULNERABLE TO DAMAGE FROM OIL SPILLS, SOMETHING THAT WAS EITHER UNKNOWN OR MISUNDERSTOOD AT THE TIME OF THE SPILL. WE THEREFORE ARGUE THAT THE START OF THE HERRING DECLINE WAS COINCIDENT WITH THE OIL SPILL, AND THAT THE DECLINE TOOK PLACE OVER A 5-YEAR PERIOD, RATHER THAN THE SINGLE-YEAR COLLAPSE PREVIOUSLY REPORTED. ALTHOUGH A COMPREHENSIVE MANAGEMENT APPROACH IS NOW IN USE FOR HERRING, THE TOOLS WERE NOT IN PLACE AT THE TIME OF THE OIL SPILL OR THE SUBSEQUENT COLLAPSE.",THORNE RE;THOMAS GL,2008,ICES JOURNAL OF MARINE SCIENCE,10.1093/icesjms/fsm176,"ACOUSTIC SURVEY; AGE-STRUCTURED ASSESSMENT; ENVIRONMENTAL IMPACT ASSESSMENT; ""EXXON VALDEZ"" OIL SPILL; PACIFIC HERRING; PRINCE WILLIAM SOUND; STOCK ASSESSMENT"
THE TROPHIC ROLE OF THE ENDANGERED CARIBBEAN MANATEE TRICHECHUS MANATUS IN AN ESTUARY WITH LOW ABUNDANCE OF SEAGRASS,"CHETUMAL BAY IS A REFUGE FOR THE MANATEE, TRICHECHUS MANATUS, A LARGE AND STRICTLY HERBIVOROUS AQUATIC MAMMAL. THE ECOSYSTEM IS NOTORIOUSLY POOR IN SUBAQUATIC VEGETATION, THE MAIN COMPONENTS OF MANATEES' DIET. DUE TO THE CONSTANT PRESENCE OF MANATEES IN THE BAY AND THEIR ABILITY TO CONSUME LARGE VOLUMES OF PLANT MATERIAL, IT IS ASSUMED THAT THE SPECIES HAS A RELEVANT TROPHIC IMPACT ON THE SYSTEM. A MASS-BALANCE TROPHIC MODEL WAS DESIGNED TO DESCRIBE THE FLOWS OF ENERGY AND MATTER IN THE BAY, WITH THE GOAL OF ASSESSING THE ROLE OF MANATEES IN THE SYSTEM. THE SYSTEM WAS AGGREGATED IN EIGHT EFFECTIVE TROPHIC LEVELS. THE BIOMASS WAS INTENSELY CONCENTRATED IN THE DETRITUS, SUGGESTING THAT THE MATTER ON THE BOTTOM SEDIMENT IS THE MAIN REGULATOR OF THE ENERGY FLOW IN THE SYSTEM. PRIMARY PRODUCERS COMPRISED OF DETRITUS, MANGROVE, BENTHIC AUTOTROPHS, AND PHYTOPLANKTON. THE APEX PREDATORS WERE DOLPHINS AND LARGE PISCIVOROUS FISHES. MANATEES OCCUPIED THE TROPHIC LEVEL 2.0. MANATEES WERE DIRECTLY OR INDIRECTLY IMPACTED BY AUTOTROPHS, MANGROVE, AND DETRITUS; BUT THE COMPETITION BETWEEN MANATEES AND OTHER GROUPS WAS INSIGNIFICANT. IN COMPARISON TO OTHER ECOSYSTEMS WHERE MANATEES OCCUR, CHETUMAL BAY (BCH) HAS THE LOWEST RELATIVE BIOMASS OF SEAGRASSES. SEVERAL ECOLOGICAL AND BEHAVIORAL MECHANISMS TO COMPENSATE THE LACK OF MACROPHYTES BIOMASS (OR A COMBINATION OF SEVERAL) ARE SUGGESTED. ECOPATH WITH ECOSIM MODELS ARE USEFUL TO DESCRIBE THE FLOW OF ENERGY AND MATTER IN THE ECOSYSTEMS. HOWEVER, THERE ARE STILL CRITICAL GAPS IN THE KNOWLEDGE OF BCH AND ITS MANATEE POPULATION. IT IS DIFFICULT TO ASSESS THE UNCERTAINTY ASSOCIATED WITH THE ESTIMATES OBTAINED; THEREFORE, RESULTS SHOULD BE INTERPRETED WITH CAUTION. IMPROVING THIS PRELIMINARY MODEL WITH ROBUST LOCAL INFORMATION ON THE CHETUMAL BAY ECOLOGY AND ITS MANATEE POPULATION IS RECOMMENDED.",CASTELBLANCO-MARTÍNEZ DN;BARBA E;SCHMITTER-SOTO JJ;HERNÁNDEZ-ARANA HA;MORALES-VELA B,2012,ESTUARIES AND COASTS,10.1007/s12237-011-9420-8,MANATEE; CHETUMAL BAY; TROPHIC MODEL; GRAZING; ECOLOGY; ECOPATH WITH ECOSIM
INTRODUCTION TO THE RED SEA,"THE RED SEA, CHARACTERIZED BY A NUMBER OF UNIQUE OCEANOGRAPHIC AND BIOLOGICAL FEATURES, IS A HOTSPOT FOR CORAL REEF ECOLOGY. IT ALSO PROVIDED HUMANS FOR MILLENNIA, FROM THE EARLIEST RECORD OF HUMAN CONSUMPTION OF SEAFOOD TO ITS CURRENT ROLE AS AN IMPORTANT FISHING GROUND FOR THE SEVEN COUNTRIES ALONG ITS SHORES. CONTEMPORARY FISHERIES NEED MONITORING AND MANAGEMENT, AND CATCH DATA ARE CRUCIAL TO BOTH. HOWEVER, RELIABLE TIME-SERIES OF CATCH DATA ARE LACKING FOR MOST RED SEA FISHERIES. HERE, THE CATCHES OF RED SEA FISHERIES ARE 'RECONSTRUCTED' FROM 1950 TO 2010 BY COUNTRY (I.E., EGYPT, SUDAN, ERITREA, YEMEN, SAUDI ARABIA, JORDAN AND ISRAEL) AND SECTOR (ARTISANAL, SUBSISTENCE, INDUSTRIAL AND RECREATIONAL), AND IN TERMS OF THEIR SPECIES COMPOSITION. HISTORICAL DOCUMENTS, PUBLISHED AND UNPUBLISHED REPORTS AND OTHER GREY LITERATURE, DATABASES, FIELD SURVEYS, ANECDOTAL INFORMATION, INTERVIEWS, AND INFORMATION ON PROCESSED SEAFOOD PRODUCTS WERE USED AS SOURCES. WHEN RELIABLE DATA WERE AVAILABLE FOR A NUMBER OF YEARS, THEY WERE USED AS ANCHOR POINTS, AND MISSING YEARS WERE INTERPOLATED, BASED ON ASSUMPTIONS OF CONTINUITY, AND GIVEN THE BEST KNOWLEDGE OF THE FISHERIES AVAILABLE. THE RECONSTRUCTED CATCHES (WHICH ALSO INCLUDE DISCARDS) WERE COMPARED TO THE STATISTICS SUBMITTED BY THE ABOVE-MENTIONED COUNTRIES TO THE FOOD AND AGRICULTURAL ORGANIZATION (FAO) OF THE UNITED NATIONS. OVERALL, THE TOTAL RED SEA CATCH WAS LOW (AROUND 50,000 T.YEAR(-1)) UNTIL 1960, INCREASED TO A PEAK (AROUND 177,000 T) IN 1993, AND IS DECLINING SINCE. OVERALL, IT WAS 1.5 TIMES HIGHER THAN THE CATCH OFFICIALLY SUBMITTED TO FAO BY THE COUNTRIES BORDERING THE RED SEA. ARTISANAL FISHERIES GENERALLY CONTRIBUTED ABOUT HALF OF THE TOTAL RED SEA CATCH, WHILE THE COMPOSITION OF THE CATCH WAS EXTREMELY VARIED, WITH NO SINGLE SPECIES OR EVEN FAMILY DOMINATING. IN ADDITION TO THE NATIONAL CATCH RECONSTRUCTIONS, THE LOCAL (ARABIC) NAMES OF COMMON COMMERCIAL FISHES, AN ECOSYSTEM MODEL AND A TIME SERIES OF THE EFFORT ARE ALSO PRESENTED. THE RESULTING CATCH TRENDS PROVIDE CRUCIAL HISTORICAL RECORDS AND IMPORTANT GUIDANCE FOR THE DEVELOPMENT OF FUTURE FISHERIES MANAGEMENT POLICIES AIMING AT RESOURCE CONSERVATION AND SUSTAINING THE LIVELIHOODS OF THE COASTAL COMMUNITIES. EXTRA MATERIAL FOR THIS CHAPTER IS AVAILABLE FROM HTTP://EXTRAS.SPRINGER.COM/",TESFAMICHAEL D;PAULY D,2016,RED SEA ECOSYSTEM AND FISHERIES,10.1007/978-94-017-7435-2_1,CATCH TIME SERIES; MIS-REPORTED CATCH; CATCH COMPOSITION; ECOSYSTEM BASED MANAGEMENT; RED SEA
BEYOND BIG FISH: THE CASE FOR MORE DETAILED REPRESENTATIONS OF TOP PREDATORS IN MARINE ECOSYSTEM MODELS,"SEABIRDS AND MARINE MAMMALS ARE GENERALLY NOT WELL REPRESENTED IN MARINE ECOSYSTEM MODELS, DESPITE THE IMPORTANT ROLES THAT THESE GROUPS PLAY IN DETERMINING ECOSYSTEM DYNAMICS. THIS IS AN IMPORTANT GAP IN MODEL DEVELOPMENT, PARTICULARLY FOR END-TO-END ECOSYSTEM MODELS, WHICH ARE BECOMING INCREASINGLY IMPORTANT TOOLS FOR FISHERIES AND ECOSYSTEM BASED MANAGEMENT AND ASSESSMENT. EXAMINATION OF LARGE-SCALE AND WIDELY-APPLIED PELAGIC END-TO-END ECOSYSTEM MODELS INDICATES THAT REPRESENTATIONS OF PREDATORS ARE CURRENTLY BEST DEVELOPED FOR FISH GROUPS. THE METHODS FOR MODELLING SEABIRDS AND MARINE MAMMALS ON THE OTHER HAND, ARE LESS WELL DEVELOPED. THIS IS POTENTIALLY DUE TO THE CHALLENGES INVOLVED IN DATA COLLECTION AND IN REPRESENTING THE COMPLEX LIFE HISTORIES OF MANY OF THESE SPECIES. TO EXAMINE THE EFFECT THAT DIFFERENT REPRESENTATIONS OF HIGHER TROPHIC LEVEL PREDATORS MIGHT HAVE ON ECOSYSTEM MODEL PREDICTIONS, WE DEVELOPED A SET OF SIMPLE NESTED QUALITATIVE NETWORK MODELS AND EXAMINED THEIR RESPONSES TO PERTURBATIONS. RESPONSES DIFFERED BETWEEN MODELS ACROSS A RANGE OF TROPHIC LEVELS UNDER A SIMPLE SCENARIO FOR ENVIRONMENTAL CHANGE, HIGHLIGHTING THAT HOW PREDATORS ARE MODELLED CAN HAVE IMPLICATIONS FOR ECOSYSTEM-LEVEL PREDICTIONS. WE CONCLUDE WITH A DISCUSSION AROUND POTENTIAL APPROACHES FOR DEVELOPING MORE DETAILED REPRESENTATIONS OF PREDATOR GROUPS, AND SUGGEST INCORPORATING DYNAMIC ENERGY BUDGET THEORY IN INDIVIDUAL-BASED MODELS TO REPRESENT HIGHER TROPHIC LEVEL PREDATORS WITH MORE COMPLEX LIFE HISTORIES. (C) 2017 ELSEVIER B.V. ALL RIGHTS RESERVED.",GOEDEGEBUURE M;MELBOURNE-THOMAS J;CORNEY SP;HINDELL MA;CONSTABLE AJ,2017,ECOLOGICAL MODELLING,10.1016/j.ecolmodel.2017.04.004,MARINE ECOSYSTEM MODELLING; TOP PREDATORS; END-TO-END ECOSYSTEM MODELS; INDIVIDUAL-BASED MODELS; DYNAMIC ENERGY BUDGET THEORY
ANTHROPOGENIC BARRIERS LIMIT FISH ACCESS TO ESSENTIAL HABITATS IN THE AMAZON IN THE FACE OF CLIMATE CHANGE,"BARRIERS REPRESENT ONE OF THE GREATEST THREATS TO RIVER INTEGRITY AND FRESHWATER FISH, AS THEY FRAGMENT HABITATS AND IMPAIR SPECIES DISPERSAL, PARTICULARLY IN A SCENARIO OF CLIMATE CHANGE. IN THIS CONTEXT, WE APPLIED A NOVEL FRAMEWORK THAT COMBINED PREDICTIONS OF SPECIES DISTRIBUTION MODELS WITH A RIVER CONNECTIVITY INDEX TO IDENTIFY ACCESSIBLE AND CLIMATIC-ENVIRONMENTAL SUITABLE HABITATS FOR FRUGIVOROUS AND SOCIOECONOMICALLY IMPORTANT FISH IN THE AMAZON BASIN. WE ALSO RANKED DAMS BASED ON THEIR POTENTIAL FOR RIVER FRAGMENTATION AND BLOCKING ACCESS TO CLIMATE REFUGE FOR FISH SPECIES THAT PROVIDE ESSENTIAL ECOSYSTEM FUNCTIONS AND SERVICES IN THE AMAZON. OUR RESULTS REVEALED THAT THERE ARE STILL EXTENSIVE AREAS THAT REMAIN BOTH CONNECTED AND CLIMATIC-ENVIRONMENTALLY SUITABLE ALONG THE AMAZON-SOLIM & OTILDE;ES RIVERS, ACTING AS CORE AREAS FOR FISH DISPERSAL AND TRACKING SUITABLE HABITATS. HOWEVER, THE PLANNED EXPANSION OF HYDROPOWER INFRASTRUCTURE COMBINED WITH CLIMATE CHANGE CAN LEAD TO A CONTRACTION OF AREAS THAT WILL REMAIN SIMULTANEOUSLY CLIMATIC-ENVIRONMENTAL SUITABLE AND CONNECTED. BY IDENTIFYING AND RANKING THE MOST IMPACTFUL BARRIERS, OUR RESULTS CAN PROVIDE INNOVATIVE AND APPLICABLE INFORMATION FOR SUSTAINABLE ENERGY PLANNING DECISIONS IN THE AMAZON. THESE RESULTS CAN INFORM POLICIES AND CONSERVATION ACTIONS AIMED AT PRESERVING RIVER CONNECTIVITY, BIODIVERSITY, AND ECOSYSTEM SERVICES UNDER RAPIDLY CHANGING CONDITIONS.",YOFUKUJI KY;FABRIN TMC;STABILE BHM;AGOSTINHO AA;JÉZÉQUEL C;BATISTA-SILVA VF;ESSER LF;FERREIRA JHD;RÉ R;TEDESCO PA;AZEVEDO JC;BAILLY D,2026,GLOBAL CHANGE BIOLOGY,10.1111/gcb.70685,BARRIER PRIORITIZATION; DAMS; FRAGMENTATION; FRESHWATER FISH; RANGE SHIFT; SPECIES DISTRIBUTION MODELING
A FRAMEWORK FOR SIMULATING ECOSYSTEM EFFECTS IN DATA-POOR SMALL-SCALE FISHERIES USING SCIENCE-BASED AND LOCAL ECOLOGICAL KNOWLEDGE-BASED MODELS,"THE CONSTANT DEMAND FOR SEAFOOD PRODUCTS AND THE UNDENIABLE EFFECTS OF FISHING ON MARINE ECOSYSTEMS MAKE IT URGENT TO IMPLEMENT AN ECOSYSTEM APPROACH, EVEN IN DATA-POOR SCENARIOS SUCH AS SMALL-SCALE FISHERIES. UNDERSTANDING THE IMPACTS OF FISHING IS ESSENTIAL FOR PROMOTING MANAGEMENT STRATEGIES THAT PREVENT IRREVERSIBLE DAMAGE TO MARINE ECOSYSTEMS. THUS, ECOSYSTEM QUANTITATIVE SCIENCE-BASED MODELS HAVE BEEN FREQUENTLY USED TO EVALUATE THE EFFECTS OF FISHING, ALTHOUGH FISHERS' LOCAL ECOLOGICAL KNOWLEDGE (LEK) CAN AID THE IMPLEMENTATION OF QUALITATIVE MODELS, PARTICULARLY IN DATA-POOR CONDITIONS. HERE, WE PRESENT A FRAMEWORK FOR SIMULATING AND ASSESSING THE EFFECTS OF FISHING FOLLOWING TWO STRATEGIES: (1) FOR BOTH TYPES OF MODELS, WE SIMULATED SPECIES REMOVAL SCENARIOS, AND (2) FOR QUANTITATIVE SCIENCE-BASED MODELS, WE FITTED TIME SERIES TO DYNAMICALLY ASSESSED IMPACTS. THE IMPACTS WERE ANALYZED THROUGH ECOLOGICAL INDICATORS COMMONLY USED FOR QUANTITATIVE MODELS, AND BECAUSE THESE INDICATORS CANNOT BE EASILY ESTIMATED FOR QUALITATIVE MODELS, WE PROPOSE THE USE OF TOPOLOGICAL INDICATORS IN BOTH TYPES OF MODELS. THE APPROACH WAS APPLIED TO THREE CASE STUDIES OF SMALL-SCALE FINFISH FISHERIES IN NORTHWESTERN MEXICO. WE FOUND THAT THE ECOSYSTEM RESPONSE TO SPECIES REMOVAL WAS DIFFERENT IN EACH CASE STUDY AND THAT THE TARGET SPECIES CAN PLAY AN IMPORTANT ROLE IN ECOSYSTEMS, BUT THEIR REMOVAL DOES NOT GENERATE ABRUPT CHANGES IN THE ECOSYSTEM STRUCTURE. THE QUANTITATIVE SCIENCE-BASED MODELS WERE ABLE TO REPRODUCE THE HISTORICAL CATCH TRENDS, WHICH ALLOWED US TO REVEAL THAT CHANGES IN ECOSYSTEMS ARE INDEED INFLUENCED BY FISHING EFFORT BUT ALSO BY UNDERLYING PRIMARY PRODUCTIVITY. FURTHERMORE, TOPOLOGICAL AND ECOLOGICAL INDICATORS SHOWED SIMILAR TRENDS IN THE QUANTITATIVE MODELS, WHICH SUGGESTS THAT THE FORMER COULD BE USEFUL WHEN DATA-POOR CONDITIONS ALLOW ONLY QUALITATIVE MODELS. THIS RESULT CONFIRMS THE RELEVANCE OF THE PARTICIPATION OF FISHERS IN GENERATING QUALITATIVE MODELS AND THEIR DECISIVE ROLE IN THE DISCUSSION OF CO-MANAGEMENT STRATEGIES AND RISK SCENARIOS IN A BETTER-INFORMED MANNER.",ZETINA-REJON MJ;LOPEZ-IBARRA GA;ROCHA-TEJEDA L;FLORES-GUZMAN A;LOPEZ-ERCILLA I;RODRIGUEZ-RODRIGUEZ E;SANDOVAL-JIMENEZ SA;ARREGUIN-SANCHEZ F;CISNEROS-MONTEMAYOR AM,2022,FRONTIERS IN MARINE SCIENCE,10.3389/fmars.2021.799068,FISHING IMPACTS; EAF; FINFISH; TOPOLOGICAL INDICATORS; ECOLOGICAL INDICATORS; LEK
ECOSYSTEM-BASED ENVIRONMENTAL FLOW ASSESSMENT IN A GREEK REGULATED RIVER WITH THE USE OF 2D HYDRODYNAMIC HABITAT MODELLING,"DESPITE THE LONG-TERM RESEARCH ON THE USE OF HYDRAULIC-HYDRODYNAMIC HABITAT MODELS (HHMS) FOR PREDICTING THE RESPONSE OF AQUATIC BIOTA TO HABITAT ALTERATION, THEIR PRACTICAL APPLICATION IN MODEL-BASED ENVIRONMENTAL FLOW ASSESSMENTS (EFAS) HAS BEEN LIMITED DUE TO REASONS MAINLY ASSOCIATED WITH COST-EFFECTIVENESS, TIME-EFFICIENCY, REQUIRED EXPERTISE, AND AVAILABILITY OF HYDROECOLOGICAL INFORMATION. IN THIS STUDY, WE DEMONSTRATE A COST-EFFECTIVE AND TIME-EFFICIENT APPLICATION OF A BENTHIC-INVERTEBRATE, TWO-DIMENSIONAL, FUZZY RULE-BASED EFA IN A 277-M LONG REACH IN THE DOWNSTREAM ROUTE OF A REGULATED RIVER IN WESTERN GREECE. APART FROM DEVELOPING ECOSYSTEM-BASED ENVIRONMENTAL FLOW (EFLOW) SCENARIOS, WE HIGHLIGHT THE VALUABLE FEATURES OF HHMS, COMMENT ON THEIR DISADVANTAGES, AND PROPOSE WORKING SOLUTIONS TO OVERCOME THEM. THE RESULTS OF THE STUDY SHOW THAT THE HYDROLOGY-BASED EFLOW OF 0.2M(3)/S, INITIALLY PROPOSED BY THE MANAGING AUTHORITIES, IS NOT SUFFICIENT TO ENSURE THE LONG-TERM FUNCTIONALITY OF THE DOWNSTREAM BENTHIC COMMUNITIES, AS THE ECOSYSTEM-BASED EFLOW RANGED BETWEEN 0.6 AND 2M(3)/S. AS SOCIAL RESILIENCE RELIES HEAVILY ON ECOLOGICAL RESILIENCE, ECOSYSTEM-BASED APPROACHES CAN ENSURE THE SUSTAINABILITY OF AQUATIC ECOSYSTEMS. THIS STUDY DEMONSTRATES, INTER ALIA, THAT HHMS-BASED EFAS CAN BE IMPLEMENTED COST-EFFECTIVELY AND TIME-EFFICIENTLY TO SERVE AS AN ACCURATE SCIENTIFIC BASIS FOR WATER MANAGERS AND STAKEHOLDERS, IN SEARCH OF THE FINE BALANCE BETWEEN ANTHROPOGENIC WATER DEMAND AND LONG-TERM ECOSYSTEM INTEGRITY AND FUNCTIONALITY.",THEODOROPOULOS C;SKOULIKIDIS N;RUTSCHMANN P;STAMOU A,2018,RIVER RESEARCH AND APPLICATIONS,10.1002/rra.3284,BENTHIC MACROINVERTEBRATES; ENVIRONMENTAL FLOWS; FUZZY; HABITAT SUITABILITY; HYDRODYNAMIC HABITAT MODELS
CLIMATE VARIABLES ARE NOT THE DOMINANT PREDICTOR OF ARCTIC SHOREBIRD DISTRIBUTIONS,"COMPETING THEORETICAL PERSPECTIVES ABOUT WHETHER OR NOT CLIMATE IS THE DOMINANT FACTOR INFLUENCING SPECIES' DISTRIBUTIONS AT LARGE SPATIAL SCALES HAVE IMPORTANT CONSEQUENCES WHEN HABITAT SUITABILITY MODELS ARE USED TO ADDRESS CONSERVATION PROBLEMS. IN THIS STUDY, WE TESTED HOW MUCH VARIABLES IN ADDITION TO CLIMATE HELP TO EXPLAIN HABITAT SUITABILITY FOR ARCTIC-BREEDING SHOREBIRDS. TO DO THIS WE MODEL SPECIES OCCUPANCY USING PATH ANALYSES, WHICH ALLOW US TO ESTIMATE THE INDIRECT EFFECTS OF CLIMATE ON OTHER PREDICTOR VARIABLES, SUCH AS LAND COVER. WE ALSO USE DEVIANCE PARTITIONING TO QUANTIFY THE TOTAL RELATIVE IMPORTANCE OF CLIMATE VERSUS ADDITIONAL PREDICTORS IN EXPLAINING SPECIES OCCUPANCY. WE FOUND THAT INDIVIDUAL LAND COVER VARIABLES ARE OFTEN STRONGER PREDICTORS THAN THE DIRECT AND INDIRECT EFFECTS OF CLIMATE COMBINED. IN MODELS WITH BOTH CLIMATE AND ADDITIONAL VARIABLES, ON AVERAGE THE ADDITIONAL VARIABLES ACCOUNTED FOR 57% OF THE EXPLAINED DEVIANCE, INDEPENDENT OF SHARED EFFECTS WITH THE CLIMATE VARIABLES. OUR RESULTS SUPPORT THE IDEA THAT CLIMATE-ONLY MODELS MAY OFFER INCOMPLETE DESCRIPTIONS OF CURRENT AND FUTURE HABITAT SUITABILITY AND CAN LEAD TO INCORRECT CONCLUSIONS ABOUT THE SIZE AND LOCATION OF SUITABLE HABITAT. THESE CONCLUSIONS COULD HAVE IMPORTANT MANAGEMENT IMPLICATIONS FOR DESIGNATING PROTECTED AREAS AND ASSESSING THREATS LIKE CLIMATE CHANGE AND HUMAN DEVELOPMENT.",ANDERSON CM;FAHRIG L;RAUSCH J;SMITH PA,2023,PLOS ONE,10.1371/journal.pone.0285115,NA
HABITAT PROTECTION ACTIONS FOR COASTAL DELPHINIDS IN A DISTURBED ENVIRONMENT WITH EXPLICIT INFORMATION GAPS,"BRIDGING INFORMATION GAPS IN AN ANIMAL'S HABITAT CONFIGURATION IS AN EXPLICIT CHALLENGE IN PLANNING HABITAT PROTECTION ACTIONS (HPAS) FOR MARINE MEGAFAUNA SPECIES NEAR SITES OF INTENSE ANTHROPOGENIC ACTIVITY. THIS CHALLENGE IS FURTHER COMPLICATED BY INADEQUATE FIELD SURVEY DESIGNS AND DATA MANIPULATION THAT LIKELY BIAS HABITAT CONFIGURATION BASELINES. IN THIS STUDY, THE LIKELY HABITAT CONFIGURATION OF INDO-PACIFIC HUMPBACK DOLPHINS, SOUSA CHINENSIS, IN THE CHINESE PROVINCES OF FUJIAN AND GUANGDONG WAS PROJECTED USING SPECIES DISTRIBUTION MODELING (SDM). THE INFLUENCE OF INADEQUATE SURVEY DESIGN AND DATA MANIPULATION OF THE BASELINE PRESENTATION WAS EXPLORED BY COMPARING THE SDM RESULTS FROM DIFFERENT DATASETS WITH CURRENT KNOWLEDGE OF HUMPBACK DOLPHIN DISTRIBUTIONS IN CHINESE WATERS. ONLY THE SDM BASED ON DATA FROM SYSTEMATICALLY DESIGNED SURVEYS PROJECTED A HABITAT CONFIGURATION MATCHING THE CURRENT HUMPBACK DOLPHIN DISTRIBUTION IN CHINA. THE LIKELY HABITAT CONFIGURATION OF HUMPBACK DOLPHINS WAS CHARACTERIZED BY HIGH PRIMARY PRODUCTIVITY AND A SHALLOW WATER DEPTH. THIS STUDY SHOWED THAT ECOSYSTEM SERVICE LOSSES, INDEXED BY CO2 ABSORPTION, DUE TO COASTAL ALTERATION ACTIVITIES NEED TO BE FACTORED INTO ENVIRONMENTAL IMPACT ASSESSMENTS. SOUND HPA PRACTICES INCLUDE SHARING INFORMATION BETWEEN RESEARCH TEAMS, MITIGATING THE ADVERSE IMPACTS OF ANTHROPOGENIC ACTIVITIES, ASSOCIATING PROTECTED AREA NETWORKING WITH REGIONAL MARITIME SPATIAL PLANNING, MONITORING COASTAL LANDSCAPES AND SEASCAPE BASELINES, REDUCING LAND-BASED POLLUTION, RESTORING DEGRADED HABITATS FOR AQUATIC BIOTA, AND RECOVERING LAND-TO-SEA CONNECTIVITY. THESE MEASURES REQUIRE COMPREHENSIVE COORDINATION AND COLLABORATION BETWEEN SCIENTIFIC RESEARCH TEAMS, POLICY REPRESENTATIVES, NGOS/NPOS AND STAKEHOLDER GROUPS.",BAO M;WANG XY;LIU WH;CHEN HL;LI YL;WU FX;ZENG QH;LIN DR;LI P;WAN HT;CHEN X;XIAO YS;ZHOU RC;HUANG SL,2019,OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2018.12.017,HABITAT CONFIGURATION; MAXENT; OCEANCOLOR; NET PRIMARY PRODUCTIVITY; INFORMATION GAP; HABITAT PROTECTION ACTION; CONNECTIVITY
